Subject,TOTAL CORRECT,TOTAL WRONG,TOTAL ANSWERS,Group,% CORRECT,% WRONG,Count
9,11,5,16,Robot S1,68.75%,31.25%,1
11,27,5,32,Robot S2,84.38%,15.63%,2
12,23,1,24,Robot S3,95.83%,4.17%,3
13,19,5,24,Robot S4,79.17%,20.83%,4
14,22,2,24,Robot S5,91.67%,8.33%,5
15,24,0,24,Robot S6,100.00%,0.00%,6
16,21,3,24,Robot S7,87.50%,12.50%,7
17,22,2,24,Robot S8,91.67%,8.33%,8
18,23,1,24,Robot S9,95.83%,4.17%,9
21,23,1,24,Robot S10,95.83%,4.17%,10
22,11,13,24,Robot S11,45.83%,54.17%,11
23,24,0,24,Robot S12,100.00%,0.00%,12
28,20,4,24,Robot S13,83.33%,16.67%,13
29,15,9,24,Robot S14,62.50%,37.50%,14
32,18,6,24,Robot S15,75.00%,25.00%,15
37,18,6,24,Robot S16,75.00%,25.00%,16
19,23,1,24,NonRobot S1,95.83%,4.17%,17
20,15,9,24,NonRobot S2,62.50%,37.50%,18
24,13,11,24,NonRobot S3,54.17%,45.83%,19
25,18,6,24,NonRobot S4,75.00%,25.00%,20
26,14,10,24,NonRobot S5,58.33%,41.67%,21
27,16,8,24,NonRobot S6,66.67%,33.33%,22
30,17,7,24,NonRobot S7,70.83%,29.17%,23
31,17,7,24,NonRobot S8,70.83%,29.17%,24
33,13,11,24,NonRobot S9,54.17%,45.83%,25
34,17,7,24,NonRobot S10,70.83%,29.17%,26
35,18,6,24,NonRobot S11,75.00%,25.00%,27
38,21,3,24,NonRobot S12,87.50%,12.50%,28
39,15,9,24,NonRobot S13,62.50%,37.50%,29
40,16,8,24,NonRobot S14,66.67%,33.33%,30
41,24,0,24,NonRobot S15,100.00%,0.00%,31
42,6,6,12,NonRobot S16,50.00%,50.00%,32
